#{"t_start": 1621921320.5059023, "env_id": "BZ-Mario-1-1-v0"}
r,l,t
264.0,293,8.637821
266.0,980,75.41627
264.0,581,114.426461
270.0,1141,193.312771
262.0,806,262.358617
264.0,997,348.325177
94.0,64,350.04548
266.0,985,435.043372
336.0,469,476.801324
264.0,883,547.366049
264.0,1024,656.249856
264.0,969,720.390832
240.0,247,771.4727
266.0,955,872.3948
84.0,49,873.27459
264.0,948,953.498664
92.0,65,955.374158
264.0,956,1071.388864
268.0,959,1229.209035
84.0,55,1230.480262
268.0,864,1302.553393
86.0,56,1352.984353
272.0,1291,1481.191864
82.0,50,1483.152236
268.0,905,1604.36803
248.0,142,1606.762313
94.0,58,1607.865299
268.0,895,1701.373946
276.0,1097,1798.192068
328.0,327,1837.597979
336.0,576,1897.401397
428.0,590,1947.567949
268.0,910,2046.713117
268.0,1235,2144.651409
268.0,1468,2305.110905
266.0,279,2350.396967
272.0,972,2430.56235
268.0,847,2494.959915
272.0,269,2535.326997
266.0,145,2539.647786
264.0,284,2590.087073
326.0,303,2596.390852
268.0,874,2705.383986
266.0,896,2795.633332
268.0,1034,2874.914888
266.0,357,2883.103382
262.0,268,2916.692585
268.0,997,3029.540104
256.0,159,3033.086658
264.0,253,3078.124993
266.0,259,3085.277375
264.0,870,3169.063085
264.0,946,3285.823601
268.0,870,3358.912109
268.0,290,3421.185443
264.0,294,3484.710408
264.0,867,3540.431798
268.0,878,3637.097214
248.0,167,3641.093379
338.0,529,3690.544826
214.0,821,3793.123446
428.0,356,3828.11815
268.0,850,3867.44287
272.0,845,3944.98689
268.0,846,4043.570432
268.0,859,4111.076151
266.0,845,4192.576584
266.0,858,4280.806522
268.0,867,4331.131648
258.0,143,4364.140983
340.0,891,4425.283866
334.0,252,4485.933715
264.0,270,4492.847591
266.0,928,4567.987125
236.0,589,4604.285227
266.0,871,4703.25331
264.0,1062,4808.984216
266.0,1462,4941.518835
268.0,202,4945.670793
272.0,1599,5063.045862
266.0,288,5101.09935
268.0,878,5219.488137
270.0,296,5227.495991
342.0,335,5274.228957
90.0,77,5277.048017
314.0,324,5314.768336
338.0,1014,5408.400351
264.0,1008,5524.06337
432.0,708,5582.109999
538.0,905,5668.803006
266.0,291,5675.08045
428.0,957,5745.775374
264.0,273,5778.833139
340.0,376,5822.293437
92.0,53,5824.479626
94.0,59,5827.530895
428.0,378,5838.157694
306.0,282,5884.278072
428.0,445,5937.381008
86.0,54,5939.01524
252.0,309,5982.657414
244.0,329,5992.438926
338.0,528,6036.570921
342.0,332,6075.898216
244.0,382,6116.028509
544.0,415,6125.604258
338.0,1042,6261.490823
336.0,436,6273.351225
90.0,54,6275.224704
266.0,144,6311.773134
430.0,636,6375.395975
334.0,264,6412.234924
266.0,145,6417.011612
334.0,393,6461.149828
532.0,526,6502.90589
344.0,1410,6619.041559
640.0,660,6694.123354
246.0,161,6698.092947
300.0,504,6739.016372
326.0,467,6790.90745
338.0,1716,6969.828739
570.0,748,7050.459319
270.0,152,7054.385045
260.0,407,7096.052908
264.0,212,7099.87913
254.0,185,7128.369682
264.0,284,7134.930146
268.0,330,7172.078301
232.0,125,7176.895647
262.0,179,7183.240416
248.0,303,7242.978781
234.0,124,7247.72282
268.0,148,7252.14997
236.0,160,7308.534381
268.0,856,7402.711709
254.0,155,7454.173218
258.0,155,7457.9945
246.0,146,7461.511388
262.0,165,7503.600999
266.0,176,7506.880322
90.0,57,7508.075145
268.0,1014,7613.550818
270.0,852,7750.397451
214.0,852,7818.683689
268.0,1192,7940.685941
340.0,922,8014.659088
268.0,873,8058.239971
436.0,1044,8144.055127
262.0,263,8175.979102
432.0,845,8227.49035
94.0,67,8269.508568
270.0,284,8276.725465
270.0,273,8329.313525
554.0,1781,8496.551967
268.0,855,8594.418199
264.0,141,8597.053662
272.0,843,8702.916052
332.0,679,8749.243733
268.0,300,8797.939447
546.0,993,8911.048594
436.0,1291,9047.215585
270.0,273,9078.642213
422.0,268,9084.214042
344.0,828,9182.732269
344.0,944,9279.796694
270.0,142,9284.57109
348.0,960,9416.917018
258.0,138,9419.52232
270.0,261,9464.186558
272.0,857,9516.853686
340.0,680,9595.793907
272.0,850,9641.590204
