#{"t_start": 1621921320.0575564, "env_id": "BZ-Mario-1-1-v0"}
r,l,t
268.0,926,42.921503
270.0,1006,116.752942
266.0,947,191.221136
264.0,886,261.129483
98.0,62,264.213987
266.0,1020,349.703251
270.0,662,394.018384
264.0,1015,483.036303
264.0,269,515.923161
266.0,1112,608.459058
88.0,65,610.370541
212.0,842,712.395534
246.0,395,721.389162
266.0,970,831.435578
84.0,56,832.683991
268.0,896,914.039505
248.0,167,951.208055
86.0,57,952.813789
264.0,965,1068.530923
320.0,301,1078.469605
82.0,53,1079.908053
214.0,833,1232.467059
340.0,664,1300.157527
268.0,1022,1414.426815
264.0,875,1543.248478
86.0,51,1545.02397
268.0,1076,1653.894136
428.0,1117,1761.064652
82.0,51,1763.06203
340.0,956,1843.580445
266.0,273,1895.181361
246.0,173,1900.160817
430.0,587,1949.323437
272.0,869,2048.350597
268.0,874,2137.508401
524.0,1173,2251.956223
428.0,311,2297.902355
268.0,902,2357.640409
268.0,1027,2437.683716
268.0,853,2538.741083
266.0,272,2589.496487
272.0,885,2657.646388
264.0,990,2765.282143
274.0,940,2835.335503
262.0,305,2874.203729
268.0,914,2924.538458
268.0,970,3034.654901
252.0,163,3077.783332
268.0,913,3136.709692
540.0,1050,3229.860062
86.0,87,3284.694183
264.0,939,3360.33672
84.0,52,3416.483436
266.0,300,3424.276121
264.0,883,3537.107249
266.0,267,3542.896281
314.0,647,3632.059469
268.0,864,3691.490448
246.0,307,3741.747662
268.0,853,3828.071257
272.0,906,3868.764783
260.0,224,3899.623111
268.0,1165,4000.85033
264.0,920,4105.914828
336.0,1003,4192.082686
264.0,859,4279.801255
334.0,289,4287.989303
266.0,853,4367.306523
250.0,302,4374.287857
256.0,160,4415.988133
266.0,235,4422.021762
340.0,970,4530.811049
264.0,271,4562.029008
256.0,140,4564.912687
84.0,54,4566.046524
266.0,924,4636.452545
264.0,252,4645.792785
260.0,889,4759.058937
266.0,891,4856.157413
248.0,438,4897.749627
264.0,923,4946.507167
248.0,294,4978.684218
262.0,1231,5061.819627
268.0,870,5164.33604
336.0,587,5226.48331
268.0,877,5316.802579
94.0,70,5318.422609
94.0,72,5319.9873
94.0,78,5321.895356
536.0,612,5365.578268
266.0,957,5472.379796
336.0,1034,5586.086306
86.0,52,5587.836781
88.0,60,5621.961398
428.0,995,5701.021658
258.0,306,5706.564795
254.0,151,5709.574747
320.0,593,5776.854958
540.0,910,5836.461498
260.0,169,5880.625068
254.0,142,5884.06711
266.0,286,5933.386541
270.0,302,5941.448113
250.0,452,5989.510305
518.0,422,6032.436662
92.0,66,6034.258722
256.0,301,6071.45618
218.0,121,6074.16963
270.0,180,6078.854649
94.0,68,6080.370759
216.0,852,6165.690646
316.0,752,6221.804026
540.0,506,6274.254175
300.0,343,6316.268889
264.0,427,6374.602571
538.0,494,6418.508103
268.0,885,6502.883828
240.0,514,6559.091345
266.0,140,6561.320915
534.0,796,6620.622525
266.0,1053,6704.679154
974.0,1029,6802.608298
256.0,148,6850.852269
256.0,157,6856.184236
264.0,875,6963.70033
340.0,1275,7058.844835
470.0,810,7132.613189
264.0,267,7139.725549
90.0,73,7168.990123
266.0,154,7174.543445
304.0,419,7239.126372
304.0,545,7308.232963
248.0,383,7317.46594
244.0,142,7393.735691
438.0,815,7462.312531
86.0,56,7463.826441
264.0,440,7510.719121
266.0,296,7556.772642
300.0,312,7563.686371
268.0,844,7684.117191
236.0,144,7687.237837
86.0,53,7746.760304
266.0,144,7751.98577
252.0,173,7757.484675
264.0,843,7856.241004
250.0,221,7860.038795
262.0,168,7890.072793
268.0,280,7896.759437
262.0,284,7939.893252
268.0,865,7986.79688
268.0,1379,8095.234286
338.0,794,8174.092764
240.0,320,8180.062042
332.0,289,8217.978997
336.0,517,8272.187992
266.0,282,8279.747708
346.0,1099,8392.938885
266.0,269,8444.052929
336.0,675,8499.294174
342.0,1189,8652.176876
228.0,127,8655.930663
268.0,849,8741.081509
340.0,895,8806.651483
340.0,420,8853.9892
262.0,144,8856.703758
342.0,992,8988.839528
346.0,988,9086.21357
264.0,139,9129.650755
264.0,148,9133.046982
242.0,153,9135.652232
348.0,978,9231.242221
594.0,493,9287.565998
270.0,931,9417.897982
342.0,676,9471.412915
340.0,303,9511.098011
460.0,516,9556.106252
270.0,1164,9639.618601
468.0,270,9691.603088
266.0,934,9773.349329
272.0,848,9874.860307
262.0,144,9878.152219
272.0,846,9981.847977
272.0,880,10087.719605
270.0,854,10144.738423
258.0,161,10184.926704
272.0,860,10246.976299
270.0,845,10338.099847
264.0,265,10369.213026
270.0,1012,10434.399826
272.0,844,10536.462531
272.0,875,10620.676934
272.0,859,10715.657255
252.0,173,10721.281049
708.0,847,10849.980112
548.0,1141,10950.399357
304.0,229,10956.166341
432.0,902,11041.059608
248.0,180,11044.570154
272.0,933,11135.780589
272.0,845,11246.395278
272.0,856,11298.735765
252.0,183,11332.433285
268.0,845,11379.329783
336.0,641,11461.294461
344.0,1167,11558.264161
250.0,578,11618.583405
584.0,768,11710.993062
232.0,153,11713.706874
86.0,71,11715.149192
1460.0,1675,11849.440502
266.0,432,11901.984283
84.0,67,11903.438535
434.0,824,11995.445035
568.0,680,12048.914028
334.0,451,12090.578543
334.0,562,12143.124737
254.0,392,12184.495408
84.0,50,12186.176808
890.0,1327,12331.899018
524.0,700,12376.4595
244.0,134,12379.710322
90.0,69,12381.574455
338.0,369,12434.287247
252.0,174,12438.255464
546.0,922,12525.04694
294.0,327,12570.341193
264.0,538,12634.412239
88.0,66,12636.250147
428.0,496,12694.071811
476.0,651,12737.397442
568.0,526,12778.617727
432.0,696,12859.210316
316.0,824,12911.163974
590.0,548,12977.306302
244.0,312,13047.675008
266.0,273,13109.049419
430.0,811,13170.937961
428.0,747,13276.390649
756.0,814,13337.728386
314.0,521,13404.74189
88.0,77,13407.3823
972.0,1459,13577.086238
92.0,64,13579.116333
430.0,1040,13662.803854
266.0,396,13694.698552
242.0,173,13698.743574
338.0,450,13752.673449
430.0,599,13823.009266
304.0,795,13865.14084
84.0,53,13866.356827
344.0,902,13945.904844
334.0,424,13992.838926
256.0,168,13997.014867
272.0,853,14088.068024
84.0,60,14089.453607
252.0,154,14092.973358
94.0,64,14094.796764
272.0,849,14195.125657
432.0,977,14267.92916
320.0,250,14273.599757
244.0,133,14307.86001
86.0,55,14309.532697
84.0,49,14311.219333
342.0,933,14401.853684
268.0,861,14467.927957
272.0,1076,14559.028135
268.0,320,14596.277316
214.0,823,14679.391173
260.0,139,14683.133697
86.0,68,14684.389687
338.0,496,14719.676816
268.0,867,14821.507822
580.0,1186,14910.523318
338.0,1048,14979.16837
266.0,873,15049.219587
218.0,130,15052.09422
212.0,832,15115.690604
224.0,127,15118.132349
94.0,57,15119.670536
332.0,294,15148.81755
334.0,344,15155.436787
578.0,513,15190.397206
680.0,1027,15268.503652
264.0,971,15335.793447
578.0,613,15372.500319
272.0,845,15452.307354
352.0,1540,15555.359819
272.0,844,15632.375058
266.0,843,15672.923992
84.0,50,15673.804836
342.0,1162,15771.777492
316.0,239,15775.827571
208.0,115,15778.732899
222.0,120,15805.304475
272.0,845,15844.789089
266.0,153,15872.5078
340.0,333,15878.526511
324.0,734,15944.018226
268.0,841,15985.175524
344.0,548,16018.615516
434.0,474,16052.394379
84.0,58,16053.621076
272.0,844,16136.53725
342.0,493,16170.89869
342.0,1446,16271.010596
340.0,293,16276.28237
86.0,57,16306.699111
264.0,1052,16375.118523
90.0,71,16376.740916
336.0,955,16448.997527
262.0,306,16455.68424
250.0,240,16493.077491
256.0,147,16496.132238
340.0,470,16528.312159
94.0,73,16529.589429
252.0,202,16533.858547
246.0,234,16563.955508
548.0,920,16631.21675
338.0,538,16678.393641
346.0,895,16719.044117
344.0,875,16792.094058
430.0,456,16825.506555
258.0,154,16828.523417
346.0,1006,16913.478815
98.0,58,16914.727888
98.0,62,16940.890998
344.0,899,16980.72519
264.0,288,17011.428736
346.0,894,17091.365818
348.0,951,17132.828507
244.0,177,17159.818741
344.0,899,17234.026623
346.0,958,17273.393476
338.0,256,17301.891213
264.0,153,17305.014241
258.0,156,17331.80003
270.0,140,17335.026935
430.0,281,17340.038009
432.0,318,17370.602834
232.0,122,17372.741559
322.0,262,17409.436496
260.0,153,17413.072895
216.0,116,17415.525755
430.0,284,17444.20535
258.0,158,17447.260076
346.0,900,17512.534871
82.0,52,17513.563847
244.0,140,17516.415256
234.0,120,17543.003209
216.0,122,17545.779696
344.0,253,17551.166908
338.0,910,17618.526797
342.0,243,17623.327854
550.0,850,17710.841292
328.0,265,17756.418681
264.0,855,17810.04416
434.0,866,17877.914415
1470.0,779,17941.39214
84.0,54,17942.47461
346.0,916,17985.348103
432.0,744,18047.510913
512.0,265,18052.517773
514.0,357,18096.826318
92.0,61,18098.153732
256.0,300,18152.805231
544.0,975,18249.275525
266.0,285,18254.076732
434.0,1085,18341.734498
222.0,123,18376.337093
264.0,853,18430.50311
344.0,967,18499.214326
234.0,185,18528.724339
272.0,848,18568.556279
90.0,73,18569.963724
272.0,838,18649.62327
224.0,122,18651.883262
272.0,842,18716.286918
496.0,257,18720.676893
246.0,309,18751.218049
96.0,66,18752.6688
638.0,1057,18827.738153
272.0,859,18893.244701
490.0,255,18898.443887
488.0,253,18927.894952
268.0,864,19004.702855
302.0,703,19042.220451
440.0,867,19107.170413
474.0,246,19111.795554
256.0,136,19114.652333
400.0,202,19153.958559
504.0,262,19159.381193
526.0,489,19192.750907
84.0,56,19194.18036
496.0,257,19223.610211
488.0,253,19228.663868
546.0,283,19259.143154
488.0,252,19263.936732
270.0,266,19294.279282
530.0,270,19299.320544
270.0,265,19334.752316
308.0,492,19368.628075
536.0,282,19373.779727
270.0,856,19437.993517
268.0,992,19513.699062
426.0,216,19517.82238
792.0,417,19551.248178
984.0,908,19619.142366
426.0,472,19653.679613
538.0,276,19696.929324
548.0,687,19736.832412
592.0,325,19744.061362
90.0,68,19771.218664
418.0,219,19776.392491
884.0,1186,19849.69137
236.0,134,19883.558709
330.0,636,19921.471484
800.0,588,19956.7891
1462.0,711,19997.6057
340.0,240,20028.184554
398.0,208,20032.920056
498.0,259,20072.468962
584.0,339,20079.793618
888.0,1186,20182.218037
426.0,218,20186.738632
696.0,355,20218.164701
660.0,330,20256.976995
342.0,252,20261.686335
640.0,324,20292.239596
412.0,210,20296.299981
92.0,65,20297.520005
650.0,324,20327.977477
300.0,531,20362.140288
652.0,329,20369.247119
570.0,287,20398.749709
586.0,292,20435.132841
982.0,512,20469.752624
738.0,371,20477.149797
628.0,319,20508.595939
740.0,371,20540.050972
888.0,1165,20631.233754
648.0,320,20661.886346
892.0,1145,20732.867831
766.0,386,20765.252484
650.0,333,20771.041075
888.0,1148,20855.262054
388.0,203,20883.372893
992.0,532,20920.324454
886.0,1169,21001.76786
394.0,205,21029.830136
380.0,199,21033.347447
570.0,288,21064.290373
600.0,310,21071.039785
90.0,63,21072.3943
628.0,319,21104.845281
340.0,562,21139.315026
1476.0,676,21188.423965
636.0,322,21218.611927
256.0,158,21221.444471
776.0,387,21253.901202
736.0,364,21285.494777
84.0,58,21286.920208
652.0,325,21293.107732
648.0,324,21323.805423
554.0,517,21366.531161
992.0,1047,21435.207984
534.0,273,21464.277096
980.0,754,21502.726652
270.0,268,21544.813017
268.0,144,21547.450164
250.0,132,21550.307285
260.0,135,21553.136955
776.0,623,21614.965294
434.0,252,21620.269001
994.0,1140,21690.521573
272.0,855,21763.702082
806.0,410,21795.891011
644.0,320,21826.203949
348.0,1151,21903.508882
510.0,261,21908.35464
320.0,235,21937.845371
686.0,341,21944.868506
758.0,381,21975.996015
316.0,275,22005.282282
752.0,376,22011.122559
980.0,806,22081.275887
92.0,67,22082.543543
1476.0,959,22151.802128
764.0,450,22184.646651
218.0,117,22187.437066
1090.0,567,22223.384597
694.0,350,22263.39938
708.0,359,22295.414061
572.0,312,22301.955329
804.0,602,22338.594105
690.0,352,22370.147679
330.0,254,22401.643817
262.0,149,22404.095905
238.0,131,22406.617518
302.0,329,22443.913793
266.0,409,22477.143284
698.0,374,22484.157568
706.0,629,22546.569316
904.0,1147,22648.528136
924.0,461,22682.831043
516.0,262,22688.622114
702.0,355,22719.714412
522.0,264,22725.65206
636.0,319,22757.076403
756.0,374,22790.155681
698.0,379,22798.038667
996.0,545,22879.122378
730.0,365,22885.781193
224.0,119,22888.014962
586.0,298,22919.308769
590.0,298,22950.274811
390.0,206,22954.515999
766.0,424,22987.045229
516.0,265,22991.864475
704.0,372,23029.95917
222.0,117,23031.923942
434.0,251,23061.686136
678.0,342,23093.400685
612.0,308,23099.875432
520.0,262,23130.257949
648.0,327,23136.407671
704.0,369,23167.969911
626.0,314,23206.604756
708.0,361,23213.65225
686.0,396,23246.212259
702.0,346,23277.420604
220.0,118,23279.653994
1480.0,742,23318.701675
650.0,323,23349.716631
236.0,122,23351.95328
992.0,1166,23451.589639
650.0,325,23457.817863
228.0,121,23460.182075
436.0,298,23490.249982
1478.0,758,23562.127829
772.0,381,23569.418958
892.0,1155,23663.816922
702.0,350,23670.207192
734.0,370,23700.974344
994.0,577,23743.697686
888.0,1148,23814.550381
528.0,276,23844.832337
542.0,355,23876.411942
628.0,326,23882.941698
264.0,318,23928.592823
240.0,137,23931.761958
662.0,329,23962.990792
802.0,457,23995.332961
320.0,1033,24063.537911
92.0,62,24064.918293
540.0,269,24070.088887
734.0,368,24111.800033
272.0,932,24177.923029
770.0,378,24209.60162
716.0,357,24215.660237
496.0,251,24245.563938
216.0,127,24248.269959
544.0,277,24253.446471
342.0,258,24288.989661
772.0,413,24321.37583
982.0,539,24354.935241
758.0,382,24385.582985
742.0,372,24392.472052
584.0,304,24422.270572
552.0,460,24472.193635
550.0,915,24538.371171
218.0,123,24540.945685
442.0,923,24608.066878
254.0,156,24611.199246
340.0,581,24652.51514
704.0,347,24682.91207
726.0,358,24690.420323
610.0,306,24720.738898
706.0,354,24753.065466
390.0,200,24756.633746
774.0,389,24788.712184
650.0,327,24826.471174
766.0,401,24834.57155
342.0,257,24863.507875
984.0,597,24899.400329
762.0,377,24930.758503
656.0,382,24938.941163
700.0,355,24969.891188
986.0,547,25010.701396
1082.0,1190,25107.406642
654.0,330,25114.041249
794.0,399,25146.422329
890.0,1180,25233.042093
794.0,399,25265.072768
262.0,148,25268.81484
1462.0,886,25333.95176
1478.0,743,25408.06811
404.0,218,25412.7399
602.0,305,25442.68276
982.0,512,25476.753381
1476.0,1525,25586.414449
1070.0,599,25621.896556
978.0,1264,25692.1988
990.0,1117,25779.77738
806.0,419,25812.303564
890.0,1146,25883.275703
384.0,202,25921.850435
886.0,1154,25993.836584
982.0,580,26028.716027
898.0,1159,26111.946084
692.0,344,26142.945512
758.0,378,26174.96837
774.0,434,26207.517678
990.0,683,26244.391033
784.0,393,26285.762313
270.0,381,26322.691105
1084.0,1166,26396.921904
650.0,327,26402.790787
270.0,267,26432.895036
784.0,392,26469.210783
250.0,171,26472.522877
270.0,405,26506.432562
436.0,370,26538.37814
628.0,314,26544.081797
982.0,993,26616.964699
664.0,332,26668.505269
1100.0,1135,26740.01712
688.0,340,26771.349502
340.0,259,26776.296025
672.0,335,26807.784637
690.0,594,26854.445096
1472.0,826,26921.178722
998.0,838,26964.872996
1010.0,630,27034.750506
424.0,217,27039.449688
1476.0,859,27104.613612
988.0,884,27146.396346
590.0,299,27177.312158
1468.0,1121,27261.30946
1104.0,1235,27357.864304
996.0,888,27409.296513
1000.0,539,27444.382506
780.0,385,27476.944446
804.0,398,27509.486057
776.0,430,27542.460641
714.0,359,27548.988073
1474.0,803,27635.217197
1496.0,941,27702.347722
710.0,411,27734.60491
796.0,404,27742.252337
992.0,1054,27826.927066
898.0,1169,27922.286614
710.0,354,27929.253573
892.0,1173,28036.217222
792.0,394,28043.728839
84.0,59,28069.4687
566.0,385,28076.320141
760.0,372,28107.466792
898.0,1145,28187.735024
764.0,375,28220.365129
996.0,960,28287.498324
898.0,1159,28372.514564
700.0,353,28404.520191
778.0,387,28436.990447
682.0,340,28443.806275
992.0,669,28514.00976
996.0,607,28550.636084
780.0,410,28583.09361
436.0,505,28616.120721
898.0,1170,28701.396763
262.0,188,28705.340976
550.0,277,28735.167692
994.0,659,28772.776821
892.0,1154,28843.962308
558.0,285,28884.802736
566.0,449,28918.655733
962.0,477,28951.855226
770.0,387,28958.780478
896.0,1186,29061.491228
1482.0,791,29099.755646
898.0,1144,29193.040402
806.0,400,29201.408093
894.0,1200,29305.695745
704.0,367,29311.808526
986.0,544,29345.775975
1474.0,819,29419.651709
886.0,1175,29488.676566
518.0,263,29517.926692
798.0,412,29550.740579
546.0,276,29556.346737
536.0,273,29597.41015
540.0,276,29603.157734
994.0,643,29639.055653
538.0,275,29669.337558
544.0,405,29701.592396
992.0,594,29736.564708
992.0,1241,29821.23038
584.0,294,29850.424349
344.0,644,29886.675993
628.0,323,29918.852659
1468.0,1332,30001.43271
702.0,368,30032.360258
986.0,569,30067.483189
590.0,315,30098.050106
600.0,303,30140.241238
1474.0,733,30177.445843
696.0,351,30208.400927
688.0,342,30214.671239
986.0,722,30276.573082
576.0,336,30283.795638
688.0,439,30332.560092
992.0,593,30368.760422
434.0,218,30397.215383
1464.0,750,30436.892202
270.0,848,30507.955213
992.0,513,30541.443594
1466.0,805,30581.653557
992.0,505,30615.835413
1472.0,704,30685.577333
648.0,326,30692.286977
512.0,255,30731.485662
538.0,273,30781.087792
266.0,842,30848.714444
994.0,504,30914.080131
898.0,1148,31115.898608
1470.0,744,31249.144649
804.0,413,31347.136344
990.0,635,31449.775081
272.0,839,31615.651472
272.0,914,31716.606398
308.0,579,31784.568909
272.0,845,31939.730908
272.0,844,32078.489903
258.0,292,32088.412202
272.0,847,32266.225591
346.0,1419,32484.799264
88.0,55,32486.571454
268.0,347,32548.976181
436.0,497,32623.114012
222.0,116,32627.388574
