#{"t_start": 1621921319.8258305, "env_id": "BZ-Mario-1-1-v0"}
r,l,t
266.0,896,42.473341
244.0,185,72.122025
90.0,68,73.53666
94.0,63,74.58393
88.0,59,75.993645
264.0,789,147.481518
272.0,889,193.006006
94.0,69,194.474204
266.0,1144,299.515709
266.0,269,306.620741
266.0,1288,431.91019
268.0,895,485.099717
266.0,965,555.863963
214.0,829,660.74157
226.0,123,664.85656
268.0,878,771.147161
266.0,914,871.89917
212.0,823,915.126865
264.0,890,1012.128511
264.0,1056,1166.866004
210.0,851,1295.040088
82.0,55,1296.587653
264.0,905,1409.273117
538.0,443,1417.446524
338.0,578,1538.8308
264.0,869,1608.662271
338.0,494,1657.168064
268.0,1041,1762.337273
264.0,914,1841.684188
258.0,175,1846.608879
268.0,1170,1995.360906
258.0,280,2003.615643
272.0,878,2098.305182
272.0,860,2186.244606
266.0,402,2196.650701
248.0,136,2249.685153
266.0,855,2308.534143
268.0,863,2397.602855
268.0,971,2491.06822
258.0,306,2532.307197
262.0,272,2541.093737
252.0,682,2599.055304
268.0,849,2708.165647
256.0,681,2768.201477
264.0,970,2839.505634
266.0,887,2919.48085
264.0,288,2969.449566
266.0,972,3037.135628
266.0,225,3083.007954
264.0,179,3088.042114
264.0,897,3171.757637
264.0,306,3219.54429
260.0,145,3224.081826
248.0,163,3227.623628
260.0,166,3284.160745
266.0,952,3359.594055
264.0,208,3419.762922
342.0,595,3490.581924
258.0,138,3494.018195
264.0,870,3586.157899
212.0,825,3681.84658
270.0,920,3747.991357
268.0,889,3833.209034
272.0,839,3898.945338
268.0,897,3953.270196
268.0,848,4051.863842
266.0,852,4150.241388
266.0,897,4239.303244
264.0,859,4289.710278
336.0,408,4328.97384
256.0,167,4332.960836
262.0,248,4368.98346
436.0,622,4421.668926
248.0,175,4428.284112
430.0,502,4494.714513
340.0,1362,4601.560464
90.0,62,4603.307349
254.0,420,4641.362749
268.0,930,4758.055636
806.0,648,4810.052431
262.0,944,4902.012726
266.0,925,4975.720573
342.0,1122,5056.973863
340.0,372,5096.228339
90.0,172,5101.247613
266.0,940,5221.766972
318.0,798,5280.867057
272.0,886,5359.6345
266.0,160,5363.41183
94.0,67,5405.825421
90.0,62,5407.395082
252.0,255,5414.592788
84.0,91,5416.64613
94.0,69,5418.752266
88.0,59,5463.270512
94.0,74,5465.344946
314.0,353,5473.652408
264.0,982,5585.714305
444.0,851,5671.517824
88.0,86,5672.941941
92.0,57,5674.250426
90.0,59,5675.759957
542.0,704,5740.000916
250.0,254,5746.567371
552.0,732,5826.336663
270.0,1018,5935.392988
328.0,501,5984.391932
88.0,62,5986.298918
250.0,283,5995.15048
308.0,246,6032.320032
96.0,75,6034.278432
430.0,694,6081.380835
268.0,864,6166.658317
318.0,346,6215.460187
234.0,128,6217.900525
342.0,397,6265.020882
92.0,61,6266.801885
344.0,1230,6378.800395
268.0,845,6465.222617
780.0,524,6506.592005
