#{"t_start": 1621921319.9252586, "env_id": "BZ-Mario-1-1-v0"}
r,l,t
266.0,1470,80.23291
266.0,856,154.003403
264.0,564,191.807513
264.0,1205,269.68739
264.0,666,347.631513
248.0,176,352.085514
216.0,839,433.203591
340.0,1307,521.318346
264.0,934,611.679439
252.0,204,656.406133
252.0,169,659.880284
92.0,60,662.128072
84.0,51,663.763425
92.0,65,665.990969
268.0,874,772.386113
242.0,371,823.745637
270.0,855,877.672899
254.0,667,952.421623
266.0,938,1017.646415
270.0,861,1168.508737
264.0,1275,1355.346177
88.0,54,1356.923302
82.0,50,1358.347886
82.0,53,1359.696691
546.0,1528,1544.074839
304.0,1107,1654.435021
256.0,172,1659.311218
272.0,944,1761.585204
214.0,815,1838.866368
86.0,54,1840.05378
318.0,481,1897.119696
268.0,1061,1999.196292
272.0,893,2095.634531
268.0,845,2146.707576
312.0,508,2195.616089
268.0,842,2303.856864
268.0,852,2392.317492
266.0,925,2439.704636
272.0,898,2543.510423
268.0,1186,2701.515775
272.0,878,2766.745018
260.0,246,2796.939495
268.0,1095,2878.204925
266.0,281,2884.291974
270.0,1006,2979.164796
262.0,892,3085.417332
88.0,55,3086.986691
264.0,946,3173.078591
264.0,860,3287.185492
272.0,902,3416.329075
264.0,849,3492.861531
320.0,295,3536.449046
272.0,865,3592.85942
338.0,389,3640.550069
268.0,904,3742.648703
266.0,411,3792.029216
270.0,1004,3863.10981
262.0,391,3896.765694
264.0,384,3905.335515
266.0,266,3943.843198
268.0,941,4044.75561
266.0,173,4049.315763
246.0,143,4053.260732
258.0,154,4102.103645
266.0,848,4153.93682
334.0,335,4192.467439
264.0,857,4280.349028
88.0,69,4282.318426
264.0,860,4332.367743
260.0,147,4365.742647
340.0,289,4372.747519
266.0,852,4487.580159
250.0,179,4491.875591
96.0,66,4493.931422
336.0,337,4530.667934
264.0,276,4562.548026
264.0,867,4604.065919
256.0,423,4643.403658
266.0,262,4696.469436
256.0,151,4701.517287
266.0,268,4709.901574
260.0,200,4757.481341
336.0,919,4855.26841
236.0,200,4859.698878
266.0,261,4865.515015
222.0,1360,4981.787508
266.0,292,5014.72107
262.0,845,5062.510805
262.0,144,5095.888098
92.0,84,5098.420112
342.0,1131,5224.343274
306.0,487,5275.22638
242.0,507,5317.833775
270.0,892,5408.001241
242.0,518,5464.506706
88.0,60,5466.548482
552.0,506,5526.841096
268.0,950,5622.68419
92.0,61,5623.841379
548.0,787,5674.760341
338.0,544,5708.828228
550.0,630,5777.28357
344.0,959,5838.221846
318.0,435,5888.718844
548.0,690,5984.71322
94.0,60,5986.636547
546.0,768,6037.215847
542.0,860,6120.520558
236.0,327,6160.951387
332.0,958,6222.627183
244.0,134,6265.775775
240.0,141,6269.389306
266.0,271,6309.562092
540.0,357,6319.507474
342.0,947,6422.042417
434.0,606,6469.265627
316.0,488,6511.021079
438.0,690,6608.81203
552.0,471,6621.50997
258.0,167,6652.962566
318.0,860,6735.851024
336.0,666,6790.124537
234.0,131,6795.426002
248.0,177,6800.787412
270.0,879,6913.81785
272.0,842,7008.283073
92.0,75,7010.011276
244.0,317,7049.238843
542.0,470,7060.569486
270.0,152,7096.116809
312.0,369,7103.552155
256.0,153,7131.626836
336.0,684,7179.578256
254.0,158,7185.756031
88.0,53,7236.221577
324.0,292,7246.92361
432.0,373,7309.664741
252.0,138,7312.98711
256.0,139,7316.243243
264.0,152,7392.756092
256.0,404,7403.714377
268.0,847,7508.512089
244.0,177,7513.470526
244.0,313,7558.481579
258.0,138,7561.609698
342.0,940,7684.664075
466.0,687,7761.630828
266.0,170,7811.314384
274.0,860,7889.51531
266.0,848,7946.209263
246.0,645,7987.743026
254.0,134,8016.894031
260.0,156,8020.46651
342.0,1497,8140.849109
342.0,1282,8227.538183
96.0,67,8269.256055
338.0,479,8282.402027
272.0,952,8391.151234
266.0,874,8495.699739
302.0,217,8501.00219
268.0,1108,8651.899704
438.0,1086,8744.252162
272.0,840,8808.154531
272.0,843,8918.559469
346.0,1211,9051.079922
342.0,469,9087.079786
336.0,436,9136.60725
344.0,639,9190.838353
340.0,310,9231.173593
346.0,1094,9356.843806
266.0,138,9360.448935
84.0,50,9415.051237
272.0,930,9474.039669
272.0,853,9559.653526
414.0,509,9601.006065
270.0,861,9695.128339
432.0,837,9772.838545
266.0,277,9816.803899
702.0,629,9876.021418
344.0,461,9934.000562
252.0,171,9937.907858
272.0,843,10030.077356
268.0,851,10137.176118
252.0,143,10139.942546
348.0,1018,10242.276789
88.0,57,10243.991205
270.0,868,10335.052497
268.0,141,10338.783627
262.0,189,10341.978226
268.0,862,10428.703156
256.0,162,10433.136011
262.0,164,10486.538074
272.0,845,10538.744664
272.0,844,10623.156081
272.0,922,10720.361362
342.0,452,10782.132042
260.0,203,10787.090236
100.0,61,10789.088812
436.0,1073,10916.070459
272.0,988,11009.440866
318.0,248,11037.735745
260.0,140,11041.665066
344.0,660,11086.930958
348.0,926,11190.655273
342.0,248,11242.651834
250.0,303,11252.226699
252.0,303,11289.685806
92.0,57,11291.433353
436.0,795,11338.958443
266.0,887,11414.915133
260.0,311,11461.807867
690.0,783,11513.278275
214.0,826,11615.407743
210.0,830,11667.357373
240.0,374,11717.376633
92.0,85,11718.750347
430.0,446,11765.475719
338.0,512,11803.833927
268.0,293,11843.086288
428.0,1000,11951.144601
716.0,1177,12047.478293
544.0,1069,12143.004304
342.0,477,12187.113057
210.0,842,12282.521164
88.0,62,12285.835996
244.0,257,12293.134936
884.0,1468,12435.799946
272.0,845,12519.305674
90.0,59,12520.887683
264.0,975,12633.444646
270.0,845,12730.26946
466.0,811,12775.764729
86.0,54,12777.068308
268.0,268,12817.880588
340.0,859,12869.414637
340.0,812,12973.122896
334.0,715,13053.507004
704.0,528,13118.141332
264.0,1139,13278.075567
246.0,254,13283.788612
304.0,611,13341.835258
426.0,584,13467.216103
436.0,1133,13570.991385
264.0,922,13653.817221
582.0,712,13692.557479
432.0,753,13753.877037
96.0,58,13783.376305
696.0,404,13794.256553
340.0,741,13862.014448
262.0,331,13868.947766
250.0,170,13899.051569
260.0,153,13903.072067
348.0,1042,13996.600594
256.0,161,14001.153163
88.0,55,14002.38984
1106.0,1102,14140.294496
318.0,407,14150.12466
266.0,896,14232.399453
272.0,1004,14316.086393
264.0,401,14362.83964
264.0,656,14408.54903
258.0,216,14458.297082
434.0,939,14520.319785
266.0,278,14554.74815
266.0,151,14557.947947
268.0,851,14644.140712
990.0,1106,14721.263662
262.0,148,14725.009108
262.0,265,14772.741341
88.0,57,14775.024377
272.0,843,14872.123726
248.0,148,14874.592004
266.0,850,14941.640092
268.0,886,14982.640737
264.0,315,15012.852012
266.0,277,15046.851977
252.0,177,15050.343902
266.0,1352,15147.719307
258.0,195,15151.478023
340.0,274,15157.488575
268.0,290,15187.554508
254.0,136,15190.202043
216.0,124,15192.634296
270.0,1101,15296.65013
84.0,66,15298.46352
272.0,848,15338.774146
272.0,846,15419.598396
342.0,887,15483.943622
230.0,136,15486.045289
242.0,176,15489.444838
234.0,137,15516.47484
268.0,853,15558.697573
272.0,942,15637.1941
342.0,1083,15707.61413
234.0,142,15734.721798
266.0,272,15739.57646
344.0,1389,15840.290277
264.0,844,15880.706235
344.0,971,15951.432929
588.0,469,15984.87655
344.0,1643,16131.411237
268.0,1106,16201.534763
88.0,54,16202.610367
272.0,888,16267.334109
264.0,417,16275.324364
318.0,255,16310.008347
434.0,379,16341.954427
308.0,694,16378.443388
430.0,372,16409.074641
90.0,69,16410.697545
250.0,217,16414.745509
988.0,1655,16534.568866
96.0,70,16560.793051
340.0,946,16603.715698
82.0,53,16629.617526
434.0,384,16638.068613
704.0,626,16687.003755
270.0,268,16715.614759
338.0,317,16746.192088
252.0,229,16751.400954
342.0,951,16824.569987
344.0,894,16907.393088
334.0,472,16941.512081
346.0,972,17007.697472
344.0,879,17062.335994
336.0,337,17094.464685
348.0,966,17159.281109
300.0,336,17165.359855
344.0,675,17235.925259
640.0,809,17272.522979
302.0,708,17333.798716
266.0,153,17336.731364
268.0,864,17408.99331
82.0,53,17410.397445
342.0,1057,17477.23099
536.0,436,17510.527171
334.0,255,17515.827738
344.0,262,17545.480099
258.0,143,17548.840148
82.0,52,17550.144055
342.0,878,17617.06109
436.0,978,17707.069378
340.0,241,17711.971029
536.0,874,17805.398092
430.0,793,17848.966552
344.0,960,17915.343997
708.0,1197,18011.616349
342.0,554,18046.351447
548.0,1061,18153.286638
536.0,307,18159.296932
344.0,1056,18256.417367
270.0,262,18295.906219
342.0,427,18337.004958
438.0,892,18423.547307
338.0,259,18428.482265
436.0,753,18492.947412
326.0,237,18497.117621
636.0,1357,18613.609778
320.0,258,18618.81213
272.0,841,18682.430122
258.0,135,18684.863403
268.0,852,18748.476484
86.0,56,18749.893945
84.0,56,18751.094906
474.0,248,18756.358125
268.0,849,18826.863728
344.0,1001,18895.384981
254.0,403,18928.256336
508.0,263,18933.398713
488.0,256,18973.540098
256.0,136,18975.897978
408.0,212,19004.99046
254.0,138,19007.592847
268.0,978,19074.213667
272.0,840,19115.203142
504.0,261,19156.036966
502.0,257,19160.730168
506.0,262,19190.005989
484.0,251,19195.021133
482.0,254,19224.588179
264.0,844,19290.605011
404.0,210,19295.238254
516.0,268,19300.028436
344.0,1055,19398.486331
328.0,736,19436.400913
306.0,494,19471.138501
490.0,251,19476.823427
430.0,239,19512.383201
554.0,310,19518.366203
438.0,307,19548.750791
396.0,205,19553.745028
502.0,259,19583.311908
582.0,347,19615.182468
510.0,261,19620.906145
710.0,358,19652.662259
514.0,263,19658.366063
436.0,258,19701.583751
392.0,202,19706.13084
274.0,861,19775.370783
516.0,265,19781.005236
684.0,944,19848.880702
344.0,1242,19954.857572
304.0,314,19960.231219
408.0,211,19990.570038
260.0,136,19992.959273
98.0,58,19994.545994
424.0,218,20024.706564
388.0,199,20029.378605
84.0,53,20030.516413
402.0,205,20035.096922
702.0,355,20076.35508
722.0,364,20114.449893
594.0,382,20146.326754
258.0,138,20149.149305
432.0,222,20152.980264
402.0,205,20182.042706
430.0,223,20186.397058
386.0,197,20214.819799
436.0,826,20263.53108
764.0,447,20295.946944
980.0,548,20330.609132
346.0,883,20396.796927
342.0,250,20401.563281
424.0,226,20436.903149
500.0,256,20441.806208
736.0,367,20473.383484
894.0,1147,20545.030771
344.0,458,20578.358919
886.0,1148,20669.073088
646.0,326,20699.99589
1098.0,670,20738.377911
984.0,739,20812.829398
710.0,357,20820.239059
702.0,351,20851.762095
990.0,559,20887.466695
986.0,563,20924.520885
674.0,340,20955.684601
90.0,58,20956.701637
608.0,314,20997.193757
888.0,1141,21068.516157
342.0,1201,21142.674965
894.0,1146,21248.910194
634.0,590,21284.95926
888.0,1409,21369.759357
258.0,133,21397.16379
628.0,316,21403.033045
772.0,386,21433.805368
738.0,369,21466.177031
386.0,199,21469.317967
1090.0,617,21504.90638
312.0,902,21583.802898
224.0,120,21586.423272
442.0,778,21650.821716
522.0,268,21655.937611
220.0,117,21682.902519
1482.0,1309,21764.610994
886.0,1765,21902.003439
1106.0,852,21943.404526
1092.0,1283,22038.658365
254.0,171,22041.691857
696.0,365,22079.274673
432.0,759,22119.393068
752.0,374,22152.560373
994.0,761,22216.991065
348.0,1014,22294.61027
436.0,260,22300.006744
662.0,328,22331.623208
248.0,137,22334.039963
990.0,564,22369.751332
314.0,229,22374.825778
1260.0,1578,22511.960589
990.0,545,22549.031929
1034.0,594,22585.566151
538.0,269,22590.124581
652.0,345,22650.785674
224.0,119,22653.829953
730.0,366,22686.439357
536.0,273,22691.937556
712.0,350,22723.473646
666.0,379,22756.155865
1018.0,593,22793.370243
962.0,391,22847.285743
992.0,530,22882.129508
828.0,429,22915.16821
258.0,139,22918.148823
1094.0,701,22958.149136
426.0,655,23024.757705
240.0,124,23027.649475
986.0,582,23063.295761
708.0,372,23095.62291
798.0,401,23128.833495
544.0,637,23166.073468
888.0,1145,23245.595206
606.0,304,23276.093303
556.0,287,23281.847646
610.0,307,23311.880791
984.0,563,23347.579648
650.0,323,23353.926478
804.0,441,23390.836286
682.0,345,23421.836303
900.0,1160,23492.507243
688.0,343,23524.164085
268.0,190,23528.402481
686.0,433,23568.404843
780.0,390,23600.332445
758.0,420,23632.965089
932.0,1213,23703.39352
988.0,1221,23781.878373
732.0,369,23813.576782
1470.0,907,23881.392301
344.0,1091,23966.995904
542.0,510,24002.032875
578.0,294,24030.331561
720.0,1345,24115.366899
652.0,331,24145.888887
890.0,1256,24218.036111
494.0,253,24247.687397
998.0,568,24289.40519
