#{"t_start": 1621921319.5806992, "env_id": "BZ-Mario-1-1-v0"}
r,l,t
264.0,1013,44.963196
264.0,943,118.005858
80.0,92,119.829039
268.0,900,193.129695
266.0,873,264.117434
268.0,871,346.714159
266.0,285,353.653332
264.0,916,437.637201
266.0,945,517.473915
256.0,406,549.408852
90.0,56,550.569773
268.0,886,616.920774
262.0,278,663.056415
82.0,53,664.561785
256.0,141,668.613754
248.0,297,715.977845
214.0,954,826.266845
82.0,54,827.622182
266.0,852,907.018208
266.0,1114,1009.365258
210.0,817,1082.597527
264.0,1132,1293.731015
266.0,896,1364.003123
296.0,286,1412.248871
270.0,961,1542.266038
266.0,1164,1653.917847
274.0,992,1758.756437
272.0,954,1839.357924
86.0,55,1840.568547
348.0,1156,1949.593059
268.0,851,2047.899599
250.0,169,2052.986728
990.0,1080,2146.272673
268.0,851,2253.588031
88.0,53,2255.2794
246.0,179,2259.458679
312.0,387,2306.495607
268.0,965,2398.492236
256.0,160,2401.485197
268.0,939,2495.456774
270.0,1132,2599.637695
264.0,1026,2712.961074
268.0,921,2801.367413
270.0,1309,2916.428375
264.0,304,2925.309081
266.0,249,2972.929521
268.0,926,3079.602364
268.0,1005,3167.474825
268.0,208,3172.668005
540.0,532,3226.466821
252.0,158,3229.816718
264.0,275,3289.249825
544.0,491,3351.922369
268.0,205,3358.374318
434.0,469,3425.920319
270.0,515,3493.657619
244.0,262,3536.36128
340.0,313,3542.634717
92.0,56,3544.836613
90.0,51,3580.952593
266.0,400,3591.026103
268.0,196,3635.026879
272.0,907,3694.370889
270.0,949,3799.44057
254.0,195,3830.16077
246.0,182,3833.190869
270.0,276,3862.162037
268.0,853,3906.432481
264.0,515,3951.535196
268.0,408,4002.248652
340.0,891,4105.714614
254.0,147,4109.46323
264.0,928,4194.066854
266.0,946,4284.682513
246.0,391,4324.351347
266.0,851,4373.324222
268.0,855,4488.253348
264.0,142,4491.501522
262.0,268,4527.261127
264.0,391,4536.190236
268.0,1024,4607.312173
266.0,274,4641.117357
268.0,848,4755.93573
266.0,843,4813.83602
266.0,1011,4907.049375
90.0,84,4909.986517
314.0,311,4943.48765
214.0,114,4945.695383
424.0,393,4980.673884
256.0,420,5016.868365
94.0,76,5019.492549
248.0,134,5022.880535
266.0,290,5055.658201
264.0,987,5160.332616
264.0,289,5168.904455
90.0,91,5171.09872
552.0,545,5270.213986
254.0,187,5274.600588
336.0,552,5318.678969
432.0,758,5365.581346
264.0,931,5471.94179
92.0,80,5474.259888
262.0,292,5530.518174
86.0,54,5532.078202
90.0,57,5533.22204
268.0,277,5579.011883
90.0,64,5580.838456
554.0,508,5625.420456
524.0,505,5670.47497
702.0,830,5710.870501
324.0,320,5744.831667
340.0,363,5780.338594
248.0,260,5786.413428
266.0,333,5832.129791
310.0,391,5881.831107
340.0,953,5983.581979
460.0,605,6032.178189
338.0,1057,6119.17001
322.0,466,6163.794035
594.0,1292,6272.719666
258.0,430,6318.139361
436.0,456,6376.574716
336.0,345,6416.023175
260.0,191,6422.085472
338.0,457,6466.175397
94.0,57,6467.344974
346.0,1047,6563.968226
308.0,401,6614.109324
432.0,542,6654.759004
314.0,438,6697.10007
260.0,146,6700.486907
346.0,1090,6799.119273
342.0,925,6913.423331
248.0,165,6916.520358
272.0,897,7012.362336
426.0,495,7056.908316
332.0,449,7099.13992
254.0,155,7101.521964
270.0,272,7132.333242
238.0,123,7135.093217
270.0,150,7139.099888
340.0,870,7245.987957
246.0,410,7310.311947
258.0,154,7313.944486
300.0,543,7400.182431
270.0,1103,7512.113393
266.0,413,7559.904848
320.0,276,7608.800959
268.0,1147,7755.269133
252.0,306,7806.891365
336.0,353,7816.673077
90.0,53,7818.196926
348.0,1371,7944.684059
268.0,895,8018.167819
698.0,1086,8093.974646
252.0,174,8098.284853
430.0,800,8176.407352
214.0,833,8227.298139
434.0,1134,8380.935433
214.0,826,8447.615312
250.0,437,8496.598488
268.0,846,8593.727914
426.0,509,8653.614122
90.0,57,8655.175266
264.0,145,8659.380085
268.0,891,8745.879983
228.0,122,8750.903909
270.0,141,8755.369223
336.0,253,8801.770043
268.0,846,8910.939643
258.0,138,8914.218565
272.0,892,9040.986528
336.0,300,9048.141019
286.0,156,9051.766634
432.0,398,9085.622743
272.0,841,9184.598639
270.0,141,9187.946715
272.0,946,9286.63885
432.0,864,9416.442838
334.0,318,9422.559925
272.0,849,9513.993393
270.0,144,9517.373061
272.0,869,9600.232863
270.0,266,9606.407397
548.0,918,9703.834477
268.0,898,9818.395675
546.0,772,9880.956083
338.0,288,9935.02662
260.0,150,9938.149585
270.0,145,9978.353223
272.0,847,10034.567828
262.0,149,10086.707247
272.0,848,10143.30511
272.0,845,10241.277954
254.0,138,10245.48785
272.0,877,10337.177252
268.0,872,10423.465049
