#{"t_start": 1621921320.2176876, "env_id": "BZ-Mario-1-1-v0"}
r,l,t
264.0,903,42.228523
244.0,183,71.868276
248.0,545,109.977107
210.0,879,157.352598
266.0,1469,267.297204
266.0,1279,387.809754
84.0,57,389.275176
268.0,1098,479.85988
266.0,952,551.5624
212.0,814,615.869035
342.0,938,718.859268
264.0,343,772.968481
84.0,53,774.639523
240.0,239,822.188518
264.0,921,877.763008
270.0,845,956.880027
212.0,818,1069.485193
86.0,55,1070.799665
264.0,907,1172.271123
210.0,868,1299.730523
264.0,971,1413.136211
886.0,2175,1657.582148
310.0,522,1705.700672
256.0,149,1753.03907
268.0,840,1799.658617
532.0,564,1845.012859
438.0,1114,1992.914187
260.0,147,1996.300512
208.0,116,2000.099704
268.0,843,2094.769444
430.0,517,2138.671823
268.0,941,2247.524026
214.0,814,2305.136888
266.0,149,2308.798807
268.0,848,2397.688195
336.0,365,2432.842094
252.0,172,2435.746679
264.0,1092,2544.055071
340.0,316,2593.421281
266.0,252,2598.000273
266.0,149,2649.560865
266.0,288,2657.059617
264.0,925,2763.780766
264.0,270,2795.065523
266.0,392,2801.816021
264.0,1027,2882.64585
212.0,859,2973.891147
266.0,929,3080.760196
266.0,225,3087.156822
264.0,938,3173.259685
266.0,288,3219.807765
266.0,896,3293.009056
272.0,883,3424.231514
250.0,518,3491.867176
270.0,1114,3589.725433
256.0,164,3632.31207
268.0,856,3690.471551
266.0,784,3792.19547
264.0,1046,3864.178366
562.0,1158,3948.747006
90.0,57,3950.484276
266.0,638,4042.810493
268.0,874,4110.378674
338.0,1066,4196.508491
266.0,267,4242.052064
342.0,1104,4328.074651
272.0,846,4415.220818
264.0,171,4420.048023
256.0,155,4424.739782
544.0,1276,4564.353863
256.0,148,4567.278934
266.0,944,4638.623075
84.0,56,4641.755876
268.0,850,4755.84734
272.0,962,4854.440008
266.0,1058,4939.182632
248.0,294,4944.269043
272.0,952,5019.907804
264.0,387,5054.568913
268.0,969,5158.70397
88.0,95,5161.943195
250.0,168,5166.787847
266.0,940,5276.367499
92.0,80,5278.783991
258.0,311,5315.730032
244.0,249,5321.3415
266.0,173,5354.226841
248.0,327,5361.227108
88.0,80,5363.74174
92.0,72,5405.843148
94.0,69,5408.116131
270.0,941,5521.824306
342.0,884,5584.653517
426.0,341,5625.196453
260.0,145,5628.103057
268.0,927,5705.145506
434.0,1127,5783.744795
262.0,165,5823.171237
548.0,1312,5940.664132
250.0,172,5944.736864
266.0,415,5992.42499
244.0,319,6033.010162
554.0,559,6076.763131
268.0,849,6160.963264
86.0,55,6162.496947
488.0,1370,6274.373969
432.0,381,6317.907001
428.0,361,6373.858742
266.0,143,6377.29097
336.0,254,6414.36492
262.0,404,6424.655918
302.0,419,6468.399283
266.0,151,6501.769351
300.0,213,6507.048398
88.0,56,6508.597688
434.0,665,6565.732286
628.0,957,6657.063568
236.0,129,6661.472061
84.0,55,6693.449166
344.0,1553,6848.768408
240.0,131,6853.044011
342.0,1034,6965.108438
296.0,687,7012.914067
96.0,77,7015.444633
268.0,283,7054.056042
272.0,1319,7168.344232
86.0,83,7171.529068
272.0,153,7176.899805
256.0,189,7184.129989
336.0,280,7242.332081
226.0,124,7247.400929
342.0,675,7316.96332
246.0,243,7396.381615
340.0,1240,7511.839416
338.0,452,7560.061787
252.0,139,7605.188543
344.0,1679,7810.10389
88.0,82,7813.226297
266.0,866,7890.88283
310.0,224,7896.185865
266.0,156,7900.475622
316.0,454,7947.130784
98.0,69,7949.042898
438.0,567,8014.624894
262.0,149,8018.416478
266.0,156,8021.35609
266.0,156,8023.888288
214.0,824,8094.787887
268.0,1313,8215.62131
250.0,325,8223.752996
86.0,54,8225.180954
340.0,1186,8380.75914
262.0,145,8385.19318
300.0,516,8442.804847
346.0,1807,8601.299707
268.0,909,8708.035806
264.0,142,8740.365442
326.0,559,8797.367811
890.0,1314,8920.337276
96.0,58,8921.89947
250.0,134,8977.908062
344.0,930,9049.853434
338.0,359,9083.139917
96.0,64,9084.726298
272.0,848,9184.380512
418.0,222,9188.802767
266.0,858,9285.659228
266.0,142,9290.040483
216.0,126,9293.629498
260.0,134,9350.584903
586.0,435,9415.192941
348.0,1334,9516.257896
342.0,973,9602.370746
348.0,1283,9763.77613
272.0,851,9822.168903
272.0,852,9932.341245
268.0,888,10025.678925
544.0,479,10086.617188
272.0,843,10142.904536
272.0,849,10241.462734
328.0,483,10297.296062
272.0,847,10343.213802
252.0,145,10372.455303
342.0,947,10485.117162
270.0,270,10492.332727
272.0,884,10576.240632
550.0,779,10628.162467
254.0,186,10670.794719
544.0,320,10676.861782
272.0,881,10787.99662
256.0,195,10793.552024
316.0,293,10855.973527
268.0,954,10952.481002
256.0,158,10956.786762
258.0,140,11000.763731
344.0,691,11039.685215
270.0,319,11046.303236
552.0,936,11137.871502
88.0,53,11139.24699
268.0,852,11250.600528
304.0,278,11287.676856
272.0,838,11337.291061
546.0,837,11411.331538
260.0,191,11415.897544
700.0,899,11510.054467
798.0,1446,11659.645159
310.0,508,11712.89035
290.0,286,11718.578453
550.0,1088,11838.198922
258.0,153,11842.152571
88.0,61,11844.547826
340.0,483,11897.943077
320.0,427,11949.858992
264.0,146,11953.552111
532.0,592,11998.656769
340.0,475,12046.836601
546.0,448,12088.748806
342.0,1266,12191.785569
342.0,680,12282.819367
338.0,503,12333.074055
522.0,463,12371.908703
340.0,295,12378.835354
242.0,263,12429.616498
252.0,159,12433.175476
468.0,366,12471.187268
592.0,574,12518.859789
430.0,399,12566.648348
266.0,978,12688.203043
84.0,56,12689.685772
264.0,409,12699.052923
562.0,491,12738.442588
250.0,504,12779.447531
306.0,458,12823.450382
758.0,939,12908.745695
84.0,49,12909.984525
254.0,257,12968.191772
442.0,1080,13111.941973
636.0,494,13167.107103
534.0,919,13276.709938
548.0,1194,13400.119746
546.0,889,13526.465971
98.0,62,13527.951302
580.0,910,13613.450929
538.0,302,13620.043351
240.0,179,13653.314436
96.0,56,13654.746103
216.0,118,13657.867203
526.0,986,13745.575175
338.0,446,13785.809488
252.0,135,13788.25738
336.0,448,13826.659439
262.0,271,13832.354181
86.0,53,13834.467991
344.0,942,13906.715278
528.0,748,13992.030841
92.0,62,13994.078844
248.0,131,13997.366939
84.0,58,13999.142032
270.0,267,14037.310913
548.0,717,14092.255697
264.0,393,14143.176618
308.0,223,14148.530318
264.0,303,14194.65824
548.0,1251,14274.061094
338.0,264,14312.426828
312.0,244,14318.99498
272.0,869,14406.730908
542.0,1169,14518.753821
266.0,876,14596.459741
264.0,842,14680.386273
266.0,278,14686.607151
256.0,162,14714.479691
334.0,506,14767.341208
82.0,51,14769.060773
100.0,58,14770.351219
94.0,54,14771.642538
684.0,1186,14876.436129
270.0,270,14906.850629
94.0,61,14908.338351
254.0,271,14913.526724
86.0,54,14914.572579
92.0,59,14940.727397
246.0,167,14943.723129
212.0,840,15008.486382
328.0,656,15049.720372
272.0,866,15114.202367
266.0,854,15154.310896
268.0,860,15230.097065
344.0,661,15266.580793
332.0,298,15297.705359
92.0,56,15299.260862
86.0,57,15300.422752
266.0,876,15365.944125
438.0,1200,15451.822654
94.0,73,15453.998099
266.0,925,15519.469648
552.0,521,15554.732669
272.0,882,15632.507439
316.0,217,15636.350753
250.0,245,15665.688725
264.0,942,15709.314941
342.0,548,15769.70329
266.0,846,15809.716539
230.0,217,15838.146826
272.0,840,15878.595639
270.0,399,15909.745347
802.0,1757,16019.483098
342.0,453,16052.838992
686.0,1003,16138.93011
258.0,188,16167.647205
546.0,755,16205.602551
254.0,149,16208.490601
84.0,53,16234.216696
