#{"t_start": 1621921319.9976337, "env_id": "BZ-Mario-1-1-v0"}
r,l,t
244.0,249,8.20258
270.0,1550,113.536703
212.0,849,187.314881
268.0,1123,261.665495
264.0,861,345.006027
82.0,52,346.049111
86.0,56,347.071659
86.0,56,348.583955
240.0,248,354.572718
264.0,932,439.078961
246.0,299,476.181339
86.0,60,477.908142
292.0,296,485.620565
86.0,59,514.152727
266.0,952,557.276702
266.0,898,665.117409
262.0,266,712.029101
266.0,1154,826.927911
270.0,1013,910.667978
266.0,889,1007.27695
250.0,157,1011.124142
264.0,1542,1233.995354
268.0,900,1356.850946
344.0,1051,1478.089087
272.0,950,1602.605968
82.0,54,1603.517028
250.0,308,1609.068231
268.0,966,1704.507693
246.0,264,1754.789791
340.0,691,1797.504776
270.0,999,1899.62695
268.0,974,1998.528499
260.0,152,2003.782463
268.0,841,2097.357261
236.0,132,2100.04084
250.0,153,2102.809397
262.0,283,2142.096798
240.0,379,2187.478557
516.0,635,2253.164978
266.0,883,2351.299188
254.0,192,2355.026949
246.0,177,2359.391583
248.0,214,2394.866221
266.0,1052,2490.083258
270.0,407,2534.506475
242.0,193,2541.235349
264.0,1033,2655.034815
244.0,188,2661.159313
244.0,327,2708.609408
264.0,271,2759.192643
264.0,899,2802.696293
248.0,238,2833.795594
246.0,551,2879.092998
264.0,966,2971.603864
300.0,1074,3082.439078
754.0,1434,3220.909867
94.0,70,3222.85402
274.0,886,3346.913123
342.0,1162,3489.179176
272.0,890,3581.403477
270.0,411,3591.851512
246.0,148,3633.722077
270.0,343,3642.429953
342.0,487,3690.203426
272.0,842,3794.506689
272.0,854,3861.549037
268.0,848,3905.547474
268.0,842,3997.539531
268.0,854,4102.665982
262.0,851,4154.856188
264.0,1056,4247.989593
240.0,129,4280.878786
258.0,144,4285.053028
86.0,52,4286.264487
548.0,607,4330.259914
268.0,923,4419.837805
264.0,1027,4529.750372
264.0,1071,4601.252491
260.0,154,4605.814902
248.0,297,4639.357537
256.0,146,4645.766765
254.0,294,4699.307023
266.0,265,4707.836269
338.0,946,4811.203402
344.0,1025,4905.071056
94.0,62,4907.128158
338.0,1003,4982.80521
344.0,353,5017.603409
268.0,976,5099.037807
260.0,865,5216.303531
92.0,67,5219.103845
92.0,80,5221.231469
94.0,70,5223.227392
786.0,635,5278.652526
434.0,766,5354.845485
338.0,1043,5464.693775
92.0,70,5466.84976
264.0,327,5474.322304
92.0,61,5523.549337
540.0,962,5587.463653
540.0,583,5667.248758
308.0,262,5672.416904
90.0,76,5673.965892
246.0,289,5703.812735
266.0,302,5709.281664
90.0,77,5737.804864
548.0,862,5784.902535
430.0,769,5881.698797
256.0,168,5885.61955
244.0,317,5935.77252
246.0,180,5940.185749
430.0,311,5984.457186
246.0,322,5994.23517
94.0,66,5996.360651
256.0,144,6030.493628
432.0,1109,6119.266254
272.0,876,6214.377706
492.0,1261,6315.772402
340.0,682,6380.261734
266.0,274,6419.420365
442.0,851,6502.684963
88.0,53,6504.117082
270.0,929,6567.570502
240.0,182,6612.640132
310.0,287,6620.341868
82.0,52,6649.71683
252.0,241,6654.677391
238.0,127,6657.632494
212.0,118,6660.943827
344.0,1269,6793.08918
266.0,265,6801.616652
252.0,169,6851.453545
252.0,257,6859.399695
432.0,610,6917.658357
246.0,279,6967.574418
342.0,508,7010.905577
266.0,146,7014.430801
258.0,165,7050.490522
272.0,845,7101.400389
336.0,419,7135.737482
438.0,535,7180.547167
338.0,315,7240.510137
338.0,446,7307.222661
236.0,149,7310.962028
584.0,815,7451.194002
92.0,62,7453.267731
270.0,270,7459.753561
252.0,167,7464.533651
262.0,148,7505.262302
262.0,149,7508.17507
254.0,159,7512.683607
88.0,55,7513.83377
248.0,811,7613.705585
264.0,844,7750.028536
86.0,50,7752.515955
254.0,164,7757.024098
266.0,144,7760.721696
268.0,252,7812.71736
270.0,1571,7943.845753
96.0,70,7945.636933
88.0,90,7947.74186
260.0,175,7978.614274
216.0,967,8049.867249
272.0,842,8097.173195
266.0,178,8136.854142
266.0,266,8142.205968
250.0,462,8177.715114
272.0,1028,8274.497822
270.0,279,8282.052565
570.0,921,8389.704733
258.0,173,8438.567235
272.0,854,8498.841233
94.0,66,8500.428856
266.0,288,8538.432379
272.0,848,8651.371994
224.0,122,8655.613689
266.0,281,8661.891542
88.0,54,8701.474327
336.0,249,8705.899601
256.0,304,8742.241054
270.0,1054,8847.313219
696.0,573,8914.143087
258.0,181,8919.919482
268.0,283,8979.807427
248.0,443,9041.199399
470.0,1708,9185.24727
302.0,340,9226.722541
232.0,131,9228.958018
582.0,1092,9353.59846
550.0,754,9423.480159
346.0,968,9518.50018
234.0,127,9553.749094
266.0,280,9561.007944
346.0,1358,9696.944836
550.0,769,9771.488207
272.0,845,9873.187768
234.0,126,9876.769116
346.0,1180,9988.735923
272.0,853,10094.247167
556.0,722,10183.398451
436.0,751,10243.122192
266.0,867,10334.670996
270.0,866,10379.678404
250.0,195,10425.472244
270.0,859,10497.32476
262.0,142,10531.362629
272.0,841,10581.717925
342.0,452,10626.769134
272.0,854,10722.77206
