#{"t_start": 1621921320.3960123, "env_id": "BZ-Mario-1-1-v0"}
r,l,t
266.0,1498,80.57232
242.0,316,113.556692
88.0,60,115.04502
270.0,929,189.529208
264.0,1137,266.409892
264.0,1026,352.191936
252.0,192,384.864337
336.0,1041,473.693584
212.0,812,519.518806
264.0,876,607.766751
262.0,285,615.254278
266.0,940,718.232937
270.0,881,827.60263
264.0,920,908.584828
266.0,900,1005.70646
210.0,821,1078.679261
262.0,301,1161.05833
88.0,59,1163.209629
264.0,163,1168.543864
212.0,828,1295.568247
214.0,818,1364.123055
272.0,861,1482.143435
252.0,572,1548.004321
268.0,941,1652.865141
430.0,943,1756.151341
268.0,944,1836.509206
248.0,134,1840.049375
252.0,283,1891.728148
268.0,869,1948.985237
312.0,463,2001.64417
344.0,1236,2135.84114
268.0,857,2192.658488
266.0,869,2302.382419
264.0,896,2392.345403
268.0,853,2437.970479
266.0,146,2486.939085
242.0,242,2492.616792
268.0,972,2594.558118
270.0,254,2647.109441
316.0,352,2656.194821
266.0,412,2706.249392
266.0,1162,2800.85822
242.0,282,2832.814346
338.0,322,2840.878075
240.0,225,2877.423005
268.0,1112,2974.508098
264.0,292,3026.179394
268.0,924,3089.072876
256.0,327,3133.47029
266.0,269,3165.672967
546.0,677,3223.758238
266.0,870,3347.348434
332.0,280,3355.171759
256.0,150,3360.547731
266.0,901,3492.605738
92.0,58,3494.419538
272.0,862,3586.544885
270.0,273,3630.487598
336.0,477,3643.582983
272.0,946,3746.754515
336.0,342,3794.607546
324.0,348,3828.807628
272.0,858,3868.180033
272.0,846,3945.9678
90.0,57,3947.688217
254.0,138,3951.744849
266.0,198,3995.143895
268.0,848,4054.981077
250.0,140,4103.41885
338.0,944,4189.033825
338.0,477,4197.828825
324.0,647,4282.906375
264.0,856,4333.154101
340.0,1003,4426.915141
268.0,857,4531.25815
268.0,852,4597.015962
262.0,1328,4707.993752
268.0,938,4810.654791
268.0,851,4900.118082
92.0,82,4902.16778
84.0,55,4903.41727
268.0,934,4977.740017
268.0,949,5053.60704
252.0,900,5106.065846
268.0,290,5164.772578
244.0,266,5217.434865
648.0,1645,5355.876034
86.0,58,5357.255544
262.0,278,5364.367497
544.0,732,5466.908315
266.0,1091,5581.360516
264.0,917,5668.710982
424.0,305,5675.371754
242.0,247,5703.897092
434.0,404,5738.38003
302.0,407,5748.42502
534.0,493,5786.593786
256.0,141,5826.653707
430.0,403,5838.767563
496.0,364,5886.692729
340.0,1061,5993.019098
342.0,1294,6117.298757
316.0,362,6158.942537
