#{"t_start": 1622333509.4687488, "env_id": "BZ-Mario-1-2-v0"}
r,l,t
884.0,489,13.735937
1050.0,548,26.53921
1200.0,1365,118.605514
1110.0,1301,279.766395
1212.0,1906,636.364694
964.0,509,650.532913
816.0,514,821.804602
698.0,416,832.775903
1026.0,541,845.079751
966.0,502,972.569415
888.0,461,983.473581
1212.0,1723,1279.349033
328.0,251,1286.529921
884.0,492,1299.970415
1044.0,545,1462.232864
1110.0,1566,1651.357044
1110.0,1294,1801.170794
768.0,426,1813.43972
1032.0,526,1960.991512
886.0,609,1976.32648
1212.0,1815,2153.542263
814.0,469,2303.547747
154.0,87,2306.291681
884.0,456,2318.364793
1110.0,1303,2505.30819
954.0,504,2677.308947
1034.0,538,2692.240754
1060.0,583,2708.18151
1046.0,544,2839.424903
1030.0,537,2854.191611
1110.0,1302,3045.917741
894.0,464,3202.86029
1060.0,548,3219.220619
328.0,182,3223.3623
1206.0,1444,3403.361029
1110.0,1326,3560.786375
1024.0,533,3694.803131
1110.0,1347,3880.035601
808.0,434,3892.075856
1212.0,1783,4261.255766
1200.0,1357,4453.588689
1212.0,1762,4729.311355
884.0,480,4747.785002
1062.0,567,5018.71254
1110.0,1287,5205.197293
884.0,464,5218.112515
350.0,181,5222.787784
1036.0,542,5406.875915
1196.0,2044,5715.024608
566.0,285,5944.21929
568.0,270,5951.238135
1110.0,1259,6140.18447
1200.0,1744,6317.564644
1036.0,547,6426.560021
1028.0,534,6436.586702
1028.0,528,6445.71232
1060.0,561,6556.051504
1060.0,544,6566.910484
1036.0,536,6670.186275
476.0,226,6676.40607
884.0,487,6686.981222
1020.0,523,6815.222381
1034.0,532,6829.243488
816.0,516,6988.325871
232.0,594,7006.185138
1196.0,1335,7170.698007
814.0,486,7181.416513
1028.0,535,7341.43939
698.0,325,7351.355516
1194.0,1365,7570.145756
