#{"t_start": 1622333509.6725445, "env_id": "BZ-Mario-1-2-v0"}
r,l,t
884.0,489,13.532189
972.0,488,24.681815
1110.0,1291,115.01014
1062.0,612,256.544646
1212.0,1346,434.171018
508.0,241,439.788906
346.0,192,445.173044
1044.0,545,624.577738
886.0,454,638.852709
1026.0,533,652.735468
242.0,689,828.01194
1214.0,1721,984.865396
382.0,898,1108.917085
1212.0,1537,1300.481278
968.0,505,1460.564778
1044.0,549,1477.055924
972.0,504,1487.980862
1026.0,540,1651.279245
1212.0,1343,1802.89436
1028.0,530,1816.940969
1062.0,555,1965.596582
882.0,474,1977.727492
358.0,177,1983.286714
1048.0,542,2125.552429
884.0,482,2139.806183
1050.0,538,2152.599158
964.0,497,2303.898157
964.0,510,2316.854887
354.0,183,2322.360276
316.0,216,2327.833017
976.0,512,2493.462351
1232.0,1707,2698.412801
1060.0,549,2829.10685
334.0,226,2835.332309
882.0,571,2851.849408
966.0,491,3023.904163
682.0,544,3037.824545
822.0,987,3209.505569
814.0,483,3221.923612
1032.0,538,3374.847307
1060.0,563,3391.15905
1036.0,538,3532.931273
966.0,512,3546.608834
1038.0,540,3557.533711
552.0,290,3683.347578
1212.0,2261,3893.934262
818.0,521,4075.467397
1110.0,1312,4265.243831
1020.0,527,4276.348678
1200.0,1618,4480.377642
1200.0,3212,5206.764341
882.0,454,5218.938779
1110.0,1526,5437.587237
816.0,893,5704.513339
650.0,401,5718.333183
884.0,657,5956.472349
818.0,514,5970.037634
402.0,336,6134.261578
512.0,268,6141.769489
884.0,484,6151.652148
886.0,476,6302.5914
1030.0,532,6313.37048
1062.0,548,6324.751936
1056.0,532,6433.127413
816.0,496,6441.6698
894.0,472,6549.362119
896.0,473,6559.400564
244.0,276,6564.813432
842.0,511,6666.549939
882.0,460,6679.143062
1058.0,546,6691.160313
1060.0,545,6819.457359
968.0,510,6832.647635
1054.0,533,6993.785208
250.0,363,7004.18262
334.0,181,7010.24342
890.0,994,7164.153686
1032.0,534,7177.633532
862.0,448,7331.934916
690.0,1028,7363.877039
1192.0,1320,7579.447197
