#{"t_start": 1622333509.1743298, "env_id": "BZ-Mario-1-2-v0"}
r,l,t
818.0,958,24.588145
1036.0,543,96.279818
1052.0,554,110.311979
884.0,460,122.119391
1040.0,539,262.853632
1028.0,534,277.641436
1214.0,2031,637.832411
966.0,509,651.404877
1110.0,1319,841.882875
330.0,366,964.734336
1110.0,1560,1104.625521
42.0,30,1105.797028
464.0,301,1115.425045
328.0,264,1120.335667
886.0,507,1285.376876
974.0,510,1298.786685
1062.0,566,1461.825521
158.0,103,1465.317934
322.0,184,1471.65962
968.0,513,1484.232409
1060.0,562,1645.848557
350.0,193,1651.105552
1046.0,548,1664.955035
956.0,501,1794.305067
340.0,557,1810.375842
818.0,523,1822.81534
1026.0,527,1971.472747
1110.0,1299,2134.656077
350.0,176,2140.304417
1060.0,561,2153.651363
974.0,510,2305.299112
1060.0,552,2320.248146
1214.0,1380,2508.651551
1206.0,1433,2706.145043
1038.0,541,2837.583211
340.0,225,2844.634031
1060.0,563,2859.577312
884.0,475,3030.53922
1018.0,525,3043.683524
1212.0,1423,3225.420474
968.0,505,3379.291142
1214.0,1399,3545.270001
1060.0,557,3556.848587
316.0,266,3562.835657
1042.0,523,3696.561551
316.0,307,3706.01158
884.0,485,3865.522533
1030.0,531,3881.484233
498.0,233,3887.529325
1110.0,1325,4090.452755
970.0,492,4257.970817
698.0,553,4271.530653
1212.0,1494,4470.585134
966.0,500,4707.057719
1110.0,1328,5009.862351
1062.0,553,5021.580616
884.0,477,5034.682074
1060.0,554,5201.168894
1060.0,547,5217.060226
884.0,471,5399.853516
1066.0,539,5414.251428
1038.0,543,5435.767049
758.0,450,5688.60412
1052.0,547,5706.948036
898.0,478,5942.459082
1060.0,551,5957.632841
968.0,520,5971.531119
1200.0,1846,6308.645581
1200.0,2661,6558.157109
968.0,504,6568.099556
1062.0,550,6672.338312
816.0,813,6690.90606
948.0,482,6818.111681
1050.0,544,6832.089807
886.0,573,6994.290357
502.0,235,7001.594031
884.0,483,7015.490729
1110.0,1284,7176.20668
1060.0,564,7334.166214
1192.0,1310,7551.727629
1060.0,572,7569.653136
